Latitude,Longitude
49.891199,38.920042
50.089229,39.163869
50.03541,39.077032
50.049656,38.903589
53.311143,34.308293
53.240209,34.345979
53.224564,34.320293
53.313018,34.296995
53.303516,34.306032
53.308898,34.3098
55.092515,36.609535
54.517096,36.255569
51.749856,36.228008
51.743153,36.20961
51.746404,36.219909
52.62419,38.503653
52.879137,38.996057
55.807598,37.638583
55.606017,37.53328
55.808663,37.463617
55.608005,37.699271
55.673816,37.408452
55.832436,37.398606
55.627878,37.652616
55.690262,37.75416
55.663021,37.482663
55.730674,37.504269
55.844053,37.350501
55.876418,36.968071
54.916685,37.408447
55.508708,36.0149
55.912081,37.737007
56.010091,37.835541
54.923392,37.41446
55.916822,37.854285
55.996867,37.181584
55.634761,38.06763
55.467786,35.903792
55.468759,35.815723
55.492718,35.376541
55.4954,35.297197
56.312322,38.133853
55.72689,37.500132
55.699711,37.539014
55.676319,37.263561
55.970374,37.917836
55.101102,38.740029
54.545319,38.618336
56.333289,36.727982
55.812388,38.175615
55.843733,38.197245
55.987436,37.202797
55.703026,37.521257
55.712084,37.587879
55.836526,37.58709
55.823025,37.6086
55.830363,37.621901
55.832128,37.588685
55.561464,37.594726
55.71864,37.607841
56.185244,36.977435
55.923479,37.382215
55.973674,37.155509
55.98278,37.204838
55.983281,37.170774
55.996867,37.181584
56.064253,37.077536
55.0831985473632,38.7904014587402
55.055775,39.120532
55.048771,38.782339
54.885286,38.100062
56.02841,35.505581
52.972214,36.068115
52.426357,37.604649
54.52299,39.413911
54.614913,39.700959
55.302429,34.497554
55.403931,33.888961
55.415084,34.772212
55.493128,35.211665
54.889998,32.070727
55.235955,34.257056
54.798123,32.033169
52.89777,40.49681
53.988075,37.63121
54.195788,37.619934
56.175951,34.581187
56.551258,36.433204
56.78343,36.090041
56.712044,36.76815
56.798589,36.028667
56.868084,35.838773
55.933628,39.455709
48.598459,44.494489
51.683625,39.181366
50.281156,39.289769
51.114609,40.71958
49.822285,39.301783
57.626486,39.872788
49.612958,39.56344
